자치구,행정동,전이확률,1위원인,1위SHAP,2위원인,2위SHAP,3위원인,3위SHAP
영등포구,문래동,0.0058,최근인프라,-0.8925,인프라밀도,-0.4714,이동수준,-0.3011
동작구,노량진2동,0.0057,최근인프라,-0.7734,인프라밀도,-0.4333,고립수준(외출↓),-0.3637
동작구,상도1동,0.0056,최근인프라,-0.8345,인프라밀도,-0.4557,고립수준(외출↓),-0.281
동작구,상도2동,0.0056,최근인프라,-0.6861,인구규모,-0.4662,이동수준,0.3973
동작구,상도3동,0.0056,최근인프라,-0.7314,고립수준(외출↓),-0.4192,인프라밀도,-0.411
동작구,상도4동,0.0056,최근인프라,-0.8397,인프라밀도,-0.4202,이동수준,-0.2967
동작구,사당1동,0.0056,최근인프라,-0.6855,인프라밀도,-0.3762,이동수준,-0.305
동작구,사당3동,0.0055,최근인프라,-0.802,인프라밀도,-0.4528,고립수준(외출↓),-0.3086
동작구,대방동,0.0055,최근인프라,-0.7711,인프라밀도,-0.4094,이동수준,-0.2941
동작구,신대방1동,0.0054,최근인프라,-0.6844,인구규모,-0.428,고립수준(외출↓),-0.3688
동작구,신대방2동,0.0053,최근인프라,-0.7138,이동수준,-0.3692,인프라밀도,-0.3592
동작구,흑석동,0.0053,최근인프라,-0.7393,인프라밀도,-0.4176,고립수준(외출↓),-0.2432
동작구,노량진1동,0.0052,최근인프라,-0.8434,인프라밀도,-0.452,이동수준,-0.2914
동작구,사당2동,0.0052,최근인프라,-0.724,인프라밀도,-0.4084,고립수준(외출↓),-0.2816
관악구,보라매동,0.0052,최근인프라,-0.7124,인프라밀도,-0.4169,이동수준,-0.2954
관악구,청림동,0.0052,최근인프라,-0.798,인프라밀도,-0.419,고립수준(외출↓),-0.295
관악구,행운동,0.0052,최근인프라,-0.6542,인프라밀도,-0.3516,고립수준(외출↓),-0.3244
관악구,인헌동,0.0052,최근인프라,-0.7581,인프라밀도,-0.4396,고립수준(외출↓),-0.2705
관악구,남현동,0.005,최근인프라,-0.5795,고립수준(외출↓),-0.3828,인프라밀도,-0.3165
