행정동코드,자치구,행정동,adm_cd8,level_외출커뮤적은,level_이동횟수,level_배달식재료,level_독거비율,level_인프라,level_인구,delta_외출커뮤적은,delta_이동횟수,delta_배달식재료,delta_독거비율,adm_cd8_str,infra_slope,infra_delta,infra_recent,dep_2022,dep_2023,dep_2024,dep_2025,dep_slope_annual,label_slope,label_entry
1105066,광진구,자양3동,11215840,23.45789729363801,27.569444444444446,1.6236111111111111,0.07017998709807162,476.9375,3343.2508333333335,1.053094301612866,-11.21,-0.09277777777777763,-0.0031368053695998432,11215840,-2.8544117647058824,-33.5,444.0,44.5,55.8,45.2,46.6,-0.429999999999999,0,0.0
1105067,광진구,자양4동,11215847,34.1456576444457,24.594166666666666,1.298888888888889,0.19180271548189742,822.875,3963.775416666667,-2.2396486222247205,-9.056666666666668,-0.18555555555555547,0.008573339985925854,11215847,0.2235294117647059,1.5,811.0,59.8,66.5,59.4,59.0,-0.9499999999999993,0,0.0
1106071,동대문구,회기동,11230710,10.928981523313333,23.10986111111111,1.1365277777777778,0.1801267165261023,642.4375,895.53625,-1.2385186021822232,-8.434722222222224,0.32472222222222213,-0.0010919396721459917,11230710,1.5073529411764706,19.25,629.0,,,,,,0,
1106072,동대문구,휘경1동,11230720,9.549880926661054,25.766666666666666,1.1597222222222223,0.13117709207183847,383.3125,1590.2154166666667,1.2869048133445613,-10.597777777777772,-0.09277777777777785,-0.004708572088637258,11230720,-0.525,-10.0,349.0,34.1,45.3,28.7,42.0,0.7099999999999997,0,0.0
1106073,동대문구,휘경2동,11230730,16.327889698433566,26.208194444444445,1.298888888888889,0.09023439397940772,324.4375,2503.3127083333334,2.0103317142439803,-10.05638888888889,-0.18555555555555547,0.005156039288189418,11230730,-0.2485294117647059,-4.5,314.0,36.5,46.2,40.0,42.0,1.0299999999999998,0,0.0
1106080,동대문구,청량리동,11230705,29.114678556229784,23.083333333333332,0.9509722222222222,0.1479499405004548,608.5,2891.205625,-3.693246001348456,-8.917222222222222,-0.32472222222222213,0.004159714783206397,11230705,-0.8441176470588235,-9.5,596.0,51.3,54.8,52.5,51.8,-0.07999999999999971,0,0.0
1106081,동대문구,용신동,11230536,31.187812989199223,21.90277777777778,1.5540277777777778,0.19737884965304392,1396.5,3756.8356249999997,-5.569514867287339,-7.653333333333332,-0.2319444444444445,0.0003281052220082403,11230536,-2.164705882352941,-31.25,1342.0,71.4,73.9,68.8,70.6,-0.7500000000000042,0,0.0
1106082,동대문구,제기동,11230545,47.71122575644625,21.708055555555553,1.3916666666666666,0.16455810145343835,2097.125,3012.418125,2.1764373759964,-8.418333333333333,-0.1855555555555557,-0.0012492432853266067,11230545,-1.3911764705882352,-17.75,2087.0,76.1,83.5,77.7,74.3,-1.1199999999999988,0,0.0
1106083,동대문구,전농1동,11230560,26.278754465462498,23.335555555555555,1.4380555555555554,0.140739858476576,881.4375,3426.0122916666664,-0.6469533753694385,-8.900555555555556,0.0,-0.0018625786563071511,11230560,-0.10441176470588236,1.75,876.0,56.3,65.7,64.3,63.9,2.1399999999999997,1,0.0
1106084,동대문구,전농2동,11230570,9.650525590866001,25.878055555555555,1.2293055555555554,0.10131415552764804,278.4375,2276.5,-0.5104956261764464,-10.04555555555556,-0.32472222222222236,-0.0016204299937258582,11230570,-0.6044117647058823,-7.75,271.0,34.0,39.9,31.9,38.5,0.55,0,0.0
1106086,동대문구,답십리2동,11230610,22.859590415046924,23.80388888888889,1.4844444444444445,0.11148264797849998,561.125,3090.6445833333332,4.442485836572818,-9.20111111111111,-0.1855555555555557,0.00045797379397269355,11230610,-3.511764705882353,-41.0,524.0,50.3,59.8,55.5,55.5,1.1300000000000012,0,0.0
